section_id,section_name,row_id,row_name
1,Bleacher 37,23,24
1,Bleacher 37,24,25
1,Bleacher 37,25,26
1,Bleacher 37,26,27
1,Bleacher 37,19,20
1,Bleacher 37,20,21
1,Bleacher 37,21,22
1,Bleacher 37,22,23
1,Bleacher 37,27,28
1,Bleacher 37,28,29
1,Bleacher 37,39,40
1,Bleacher 37,0,1
1,Bleacher 37,2,3
1,Bleacher 37,1,2
1,Bleacher 37,4,5
1,Bleacher 37,3,4
1,Bleacher 37,6,7
1,Bleacher 37,5,6
1,Bleacher 37,8,9
1,Bleacher 37,7,8
1,Bleacher 37,12,13
1,Bleacher 37,11,12
1,Bleacher 37,10,11
1,Bleacher 37,9,10
1,Bleacher 37,38,39
1,Bleacher 37,37,38
1,Bleacher 37,14,15
1,Bleacher 37,13,14
1,Bleacher 37,16,17
1,Bleacher 37,15,16
1,Bleacher 37,18,19
1,Bleacher 37,17,18
1,Bleacher 37,30,31
1,Bleacher 37,29,30
1,Bleacher 37,36,37
1,Bleacher 37,35,36
1,Bleacher 37,34,35
1,Bleacher 37,33,34
1,Bleacher 37,32,33
1,Bleacher 37,31,32
2,Bleacher 36,23,24
2,Bleacher 36,24,25
2,Bleacher 36,25,26
2,Bleacher 36,26,27
2,Bleacher 36,19,20
2,Bleacher 36,20,21
2,Bleacher 36,21,22
2,Bleacher 36,22,23
2,Bleacher 36,27,28
2,Bleacher 36,28,29
2,Bleacher 36,0,1
2,Bleacher 36,2,3
2,Bleacher 36,1,2
2,Bleacher 36,4,5
2,Bleacher 36,3,4
2,Bleacher 36,6,7
2,Bleacher 36,5,6
2,Bleacher 36,8,9
2,Bleacher 36,7,8
2,Bleacher 36,10,11
2,Bleacher 36,9,10
2,Bleacher 36,12,13
2,Bleacher 36,11,12
2,Bleacher 36,14,15
2,Bleacher 36,13,14
2,Bleacher 36,16,17
2,Bleacher 36,15,16
2,Bleacher 36,18,19
2,Bleacher 36,17,18
2,Bleacher 36,29,30
3,Bleacher 35,10,11
3,Bleacher 35,9,10
3,Bleacher 35,12,13
3,Bleacher 35,11,12
3,Bleacher 35,14,15
3,Bleacher 35,13,14
3,Bleacher 35,16,17
3,Bleacher 35,15,16
3,Bleacher 35,18,19
3,Bleacher 35,17,18
3,Bleacher 35,0,1
3,Bleacher 35,2,3
3,Bleacher 35,1,2
3,Bleacher 35,4,5
3,Bleacher 35,3,4
3,Bleacher 35,6,7
3,Bleacher 35,5,6
3,Bleacher 35,8,9
3,Bleacher 35,7,8
4,Bleacher 34,9,10
4,Bleacher 34,0,1
4,Bleacher 34,2,3
4,Bleacher 34,1,2
4,Bleacher 34,4,5
4,Bleacher 34,3,4
4,Bleacher 34,6,7
4,Bleacher 34,5,6
4,Bleacher 34,8,9
4,Bleacher 34,7,8
5,Bleacher 39,10,30
5,Bleacher 39,8,28
5,Bleacher 39,9,29
5,Bleacher 39,4,24
5,Bleacher 39,5,25
5,Bleacher 39,6,26
5,Bleacher 39,7,27
5,Bleacher 39,0,20
5,Bleacher 39,1,21
5,Bleacher 39,2,22
5,Bleacher 39,3,23
5,Bleacher 39,26,46
5,Bleacher 39,27,47
5,Bleacher 39,24,44
5,Bleacher 39,25,45
5,Bleacher 39,22,42
5,Bleacher 39,23,43
5,Bleacher 39,20,40
5,Bleacher 39,21,41
5,Bleacher 39,19,39
5,Bleacher 39,18,38
5,Bleacher 39,28,48
5,Bleacher 39,13,33
5,Bleacher 39,12,32
5,Bleacher 39,11,31
5,Bleacher 39,29,49
5,Bleacher 39,17,37
5,Bleacher 39,16,36
5,Bleacher 39,15,35
5,Bleacher 39,14,34
5,Bleacher 39,30,50
6,Bleacher 38,23,24
6,Bleacher 38,24,25
6,Bleacher 38,25,26
6,Bleacher 38,26,27
6,Bleacher 38,19,20
6,Bleacher 38,20,21
6,Bleacher 38,21,22
6,Bleacher 38,22,23
6,Bleacher 38,27,28
6,Bleacher 38,28,29
6,Bleacher 38,39,40
6,Bleacher 38,0,1
6,Bleacher 38,2,3
6,Bleacher 38,1,2
6,Bleacher 38,4,5
6,Bleacher 38,3,4
6,Bleacher 38,6,7
6,Bleacher 38,5,6
6,Bleacher 38,8,9
6,Bleacher 38,7,8
6,Bleacher 38,12,13
6,Bleacher 38,11,12
6,Bleacher 38,10,11
6,Bleacher 38,9,10
6,Bleacher 38,38,39
6,Bleacher 38,37,38
6,Bleacher 38,14,15
6,Bleacher 38,13,14
6,Bleacher 38,16,17
6,Bleacher 38,15,16
6,Bleacher 38,18,19
6,Bleacher 38,17,18
6,Bleacher 38,30,31
6,Bleacher 38,29,30
6,Bleacher 38,36,37
6,Bleacher 38,35,36
6,Bleacher 38,34,35
6,Bleacher 38,33,34
6,Bleacher 38,32,33
6,Bleacher 38,31,32
7,Loge Box 149,0,Aa
7,Loge Box 149,5,Ff
7,Loge Box 149,1,Bb
7,Loge Box 149,4,Ee
7,Loge Box 149,10,Ll
7,Loge Box 149,6,Gg
7,Loge Box 149,11,Mm
7,Loge Box 149,7,Hh
7,Loge Box 149,9,Kk
7,Loge Box 149,8,Jj
7,Loge Box 149,12,Nn
7,Loge Box 149,3,Dd
7,Loge Box 149,2,Cc
8,Loge Box 148,0,Aa
8,Loge Box 148,5,Ff
8,Loge Box 148,1,Bb
8,Loge Box 148,4,Ee
8,Loge Box 148,10,Ll
8,Loge Box 148,6,Gg
8,Loge Box 148,11,Mm
8,Loge Box 148,7,Hh
8,Loge Box 148,9,Kk
8,Loge Box 148,8,Jj
8,Loge Box 148,12,Nn
8,Loge Box 148,3,Dd
8,Loge Box 148,2,Cc
9,Loge Box 145,0,Aa
9,Loge Box 145,5,Ff
9,Loge Box 145,1,Bb
9,Loge Box 145,4,Ee
9,Loge Box 145,10,Ll
9,Loge Box 145,6,Gg
9,Loge Box 145,11,Mm
9,Loge Box 145,7,Hh
9,Loge Box 145,9,Kk
9,Loge Box 145,8,Jj
9,Loge Box 145,12,Nn
9,Loge Box 145,3,Dd
9,Loge Box 145,2,Cc
10,Loge Box 144,0,Aa
10,Loge Box 144,5,Ff
10,Loge Box 144,1,Bb
10,Loge Box 144,4,Ee
10,Loge Box 144,10,Ll
10,Loge Box 144,6,Gg
10,Loge Box 144,11,Mm
10,Loge Box 144,7,Hh
10,Loge Box 144,9,Kk
10,Loge Box 144,8,Jj
10,Loge Box 144,12,Nn
10,Loge Box 144,3,Dd
10,Loge Box 144,2,Cc
11,Loge Box 147,0,Aa
11,Loge Box 147,5,Ff
11,Loge Box 147,1,Bb
11,Loge Box 147,4,Ee
11,Loge Box 147,10,Ll
11,Loge Box 147,6,Gg
11,Loge Box 147,11,Mm
11,Loge Box 147,7,Hh
11,Loge Box 147,9,Kk
11,Loge Box 147,8,Jj
11,Loge Box 147,12,Nn
11,Loge Box 147,3,Dd
11,Loge Box 147,2,Cc
12,Loge Box 146,3,Jj
12,Loge Box 146,7,Nn
12,Loge Box 146,4,Kk
12,Loge Box 146,5,Ll
12,Loge Box 146,1,Gg
12,Loge Box 146,6,Mm
12,Loge Box 146,2,Hh
12,Loge Box 146,0,Ff
13,Loge Box 141,0,Aa
13,Loge Box 141,5,Ff
13,Loge Box 141,1,Bb
13,Loge Box 141,4,Ee
13,Loge Box 141,10,Ll
13,Loge Box 141,6,Gg
13,Loge Box 141,11,Mm
13,Loge Box 141,7,Hh
13,Loge Box 141,9,Kk
13,Loge Box 141,8,Jj
13,Loge Box 141,12,Nn
13,Loge Box 141,3,Dd
13,Loge Box 141,2,Cc
14,Loge Box 140,0,Aa
